facet_id,raw_text,facet_name,row_kind,source_ref,source_construct,had_numbering,had_trailing_colon,was_unicode_normalized
K0001,Risktaking,Risktaking,facet,,,False,False,False
K0002,Naivety,Naivety,facet,,,False,False,False
K0003,Acidity,Acidity,facet,,,False,False,False
K0004,Democratic Leadership:,Democratic Leadership,category_header,,,False,True,False
K0005,Common-sense,Common-sense,facet,,,False,False,False
K0006,Hesitation,Hesitation,facet,,,False,False,False
K0007,Discontentment,Discontentment,facet,,,False,False,False
K0008,Overprotectiveness,Overprotectiveness,facet,,,False,False,False
K0009,Merriness,Merriness,facet,,,False,False,False
K0010,Emotionalism,Emotionalism,facet,,,False,False,False
K0011,Self-improvement,Self-improvement,facet,,,False,False,False
K0012,Statistical Reasoning,Statistical Reasoning,facet,,,False,False,False
K0013,Assertiveness and control in relationships,Assertiveness and control in relationships,facet,,,False,False,False
K0014,Cunningness,Cunningness,facet,,,False,False,False
K0015,Adventure-Seeking Behavior,Adventure-Seeking Behavior,facet,,,False,False,False
K0016,Compassion Fatigue,Compassion Fatigue,facet,,,False,False,False
K0017,Moroseness,Moroseness,facet,,,False,False,False
K0018,Specialist,Specialist,facet,,,False,False,False
K0019,Aloofness,Aloofness,facet,,,False,False,False
K0020,Genuine,Genuine,facet,,,False,False,False
K0021,Determinedness,Determinedness,facet,,,False,False,False
K0022,HonestyHumility:,HonestyHumility,category_header,,,False,True,False
K0023,Relationship Building Themes:,Relationship Building Themes,category_header,,,False,True,False
K0024,Pure Challenge,Pure Challenge,facet,,,False,False,False
K0025,Numerical Reasoning Subcomponents:,Numerical Reasoning Subcomponents,category_header,,,False,True,False
K0026,Openness,Openness,facet,,,False,False,False
K0027,SelfEsteem,SelfEsteem,facet,,,False,False,False
K0028,Comparing alphanumeric data,Comparing alphanumeric data,facet,,,False,False,False
K0029,Big-heartedness,Big-heartedness,facet,,,False,False,False
K0030,Compulsive activities,Compulsive activities,facet,,,False,False,False
K0031,Disrespect,Disrespect,facet,,,False,False,False
K0032,FSH level,FSH level,facet,,,False,False,False
K0033,Self Perspective,Self Perspective,facet,,,False,False,False
K0034,Desperation,Desperation,facet,,,False,False,False
K0035,Affiliation Motivation:,Affiliation Motivation,category_header,,,False,True,False
K0036,Anatomy knowledge,Anatomy knowledge,facet,,,False,False,False
K0037,Passive-Aggressive,Passive-Aggressive,facet,,,False,False,False
K0038,Presence of Spiritual Pain,Presence of Spiritual Pain,facet,,,False,False,False
K0039,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,facet,,,False,False,False
K0040,Structure,Structure,facet,,,False,False,False
K0041,Eco-tourism trips,Eco-tourism trips,facet,,,False,False,False
K0042,Chivalrousness,Chivalrousness,facet,,,False,False,False
K0043,Pilgrimage participation count,Pilgrimage participation count,facet,,,False,False,False
K0044,Mindfulness facet: Observing,Observing,facet,,Mindfulness facet,False,False,False
K0045,Submissiveness,Submissiveness,facet,,,False,False,False
K0046,Training-cycle length,Training-cycle length,facet,,,False,False,False
K0047,Sensitiveness,Sensitiveness,facet,,,False,False,False
K0048,Negative Affect Frequency,Negative Affect Frequency,facet,,,False,False,False
K0049,Innovation and Creativity Components:,Innovation and Creativity Components,category_header,,,False,True,False
K0050,Achievement Motivation:,Achievement Motivation,category_header,,,False,True,False
K0051,Feedback-giving frequency,Feedback-giving frequency,facet,,,False,False,False
K0052,Dance-cardio sessions,Dance-cardio sessions,facet,,,False,False,False
K0053,Enthusiasm,Enthusiasm,facet,,,False,False,False
K0054,Psychological construct: Social Desirability tendency,Social Desirability tendency,facet,,Psychological construct,False,False,False
K0055,Inattentiveness,Inattentiveness,facet,,,False,False,False
K0056,Unassertiveness,Unassertiveness,facet,,,False,False,False
K0057,Decision-making decisiveness,Decision-making decisiveness,facet,,,False,False,False
K0058,Sense-of-coherence score,Sense-of-coherence score,facet,,,False,False,False
K0059,Justice-mindedness,Justice-mindedness,facet,,,False,False,False
K0060,Subscription count,Subscription count,facet,,,False,False,False
K0061,Depression Symptoms,Depression Symptoms,facet,,,False,False,False
K0062,Spatial perception,Spatial perception,facet,,,False,False,False
K0063,Brevity,Brevity,facet,,,False,False,False
K0064,Orderliness,Orderliness,facet,,,False,False,False
K0065,Multiculturalism,Multiculturalism,facet,,,False,False,False
K0066,Creative risk-taking tendency,Creative risk-taking tendency,facet,,,False,False,False
K0067,Inefficiency,Inefficiency,facet,,,False,False,False
K0068,Network basics,Network basics,facet,,,False,False,False
K0069,Alphabetical filing skills,Alphabetical filing skills,facet,,,False,False,False
K0070,Work Styles,Work Styles,facet,,,False,False,False
K0071,Character strength: Perseverance,Perseverance,facet,,Character strength,False,False,False
K0072,Competition,Competition,facet,,,False,False,False
K0073,Logical Sequence Identification,Logical Sequence Identification,facet,,,False,False,False
K0074,Sustainable-transport usage,Sustainable-transport usage,facet,,,False,False,False
K0075,Hardworking,Hardworking,facet,,,False,False,False
K0076,Emotional-intelligence measure: Impulsiveness,Impulsiveness,facet,,Emotional-intelligence measure,False,False,False
K0077,Dishonesty,Dishonesty,facet,,,False,False,False
K0078,Preferred epistemology,Preferred epistemology,facet,,,False,False,False
K0079,Memory for Sounds,Memory for Sounds,facet,,,False,False,False
K0080,Sportsmanship rating,Sportsmanship rating,facet,,,False,False,False
K0081,Immaturity,Immaturity,facet,,,False,False,False
K0082,Health-literacy level,Health-literacy level,facet,,,False,False,False
K0083,Estimating Calculations,Estimating Calculations,facet,,,False,False,False
K0084,Depression: Feelings of sadness and hopelessness,Feelings of sadness and hopelessness,facet,,Depression,False,False,False
K0085,Synthesis of information,Synthesis of information,facet,,,False,False,False
K0086,Leadership Potential:,Leadership Potential,category_header,,,False,True,False
K0087,Ethical standards,Ethical standards,facet,,,False,False,False
K0088,High-spiritedness,High-spiritedness,facet,,,False,False,False
K0089,Critical reasoning,Critical reasoning,facet,,,False,False,False
K0090,Sleep-disorder diagnosis,Sleep-disorder diagnosis,facet,,,False,False,False
K0091,Listening Skills Subcomponents:,Listening Skills Subcomponents,category_header,,,False,True,False
K0092,Collaboration,Collaboration,facet,,,False,False,False
K0093,Precision of Movements,Precision of Movements,facet,,,False,False,False
K0094,Social Boldness,Social Boldness,facet,,,False,False,False
K0095,Auditory memory,Auditory memory,facet,,,False,False,False
K0096,Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents,category_header,,,False,True,False
K0097,Organized lifestyle,Organized lifestyle,facet,,,False,False,False
K0098,Skill-endorsements count,Skill-endorsements count,facet,,,False,False,False
K0099,Mysteriousness,Mysteriousness,facet,,,False,False,False
K0100,Cultural Identity,Cultural Identity,facet,,,False,False,False
K0101,Intrinsic Motivation,Intrinsic Motivation,facet,,,False,False,False
K0102,Impartial-mindedness,Impartial-mindedness,facet,,,False,False,False
K0103,Burnout Symptoms,Burnout Symptoms,facet,,,False,False,False
K0104,Holiness,Holiness,facet,,,False,False,False
K0105,Selfcontrol,Selfcontrol,facet,,,False,False,False
K0106,SelfDirectedness,SelfDirectedness,facet,,,False,False,False
K0107,Encouraging participation,Encouraging participation,facet,,,False,False,False
K0108,Impracticalness,Impracticalness,facet,,,False,False,False
K0109,Meeting Deadlines,Meeting Deadlines,facet,,,False,False,False
K0110,Data Analysis,Data Analysis,facet,,,False,False,False
K0111,Social Interaction Skills,Social Interaction Skills,facet,,,False,False,False
K0112,Psychoticism,Psychoticism,facet,,,False,False,False
K0113,Ethical leadership rating,Ethical leadership rating,facet,,,False,False,False
K0114,Slothfulness,Slothfulness,facet,,,False,False,False
K0115,Happiness,Happiness,facet,,,False,False,False
K0116,Contentment Levels,Contentment Levels,facet,,,False,False,False
K0117,Neuroticism,Neuroticism,facet,,,False,False,False
K0118,Desire for excellence,Desire for excellence,facet,,,False,False,False
K0119,Perceiving,Perceiving,facet,,,False,False,False
K0120,Liberalism,Liberalism,facet,,,False,False,False
K0121,Inversion comfort level,Inversion comfort level,facet,,,False,False,False
K0122,Affection,Affection,facet,,,False,False,False
K0123,Numeric Filing Skills,Numeric Filing Skills,facet,,,False,False,False
K0124,Martyrdom,Martyrdom,facet,,,False,False,False
K0125,Parathyroid-hormone level,Parathyroid-hormone level,facet,,,False,False,False
K0126,Seeking approval,Seeking approval,facet,,,False,False,False
K0127,Judging (J):,Judging (J),category_header,,,False,True,False
K0128,Big Five facet Openness – Artistic Interests,Big Five facet Openness - Artistic Interests,facet,,,False,False,True
K0129,Psychological construct: Operant-Learning rate,Operant-Learning rate,facet,,Psychological construct,False,False,False
K0130,Psychological construct: Need for Achievement level,Need for Achievement level,facet,,Psychological construct,False,False,False
K0131,Cantankerousness,Cantankerousness,facet,,,False,False,False
K0132,Material properties knowledge,Material properties knowledge,facet,,,False,False,False
K0133,Hostility,Hostility,facet,,,False,False,False
K0134,Independence,Independence,facet,,,False,False,False
K0135,800. Sufi practice: Sufi retreat attendance count,Sufi retreat attendance count,facet,800,Sufi practice,True,False,False
