facet_id,facet_name,row_kind,source_ref,source_construct,domain,subdomain,facet_type,value_polarity,text_observability,applicability_scope,score_scale,score_anchors_json,definition,embedding_text,difficulty,domain_confidence,needs_review,version
K0001,Risktaking,facet,,,personality_trait,general_trait,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Risktaking'."", ""-1"": ""Mild lack of 'Risktaking'."", ""0"": ""'Risktaking' not expressed / neutral."", ""1"": ""Moderate 'Risktaking'."", ""2"": ""Strong, exemplary 'Risktaking'.""}",Degree to which the turn exhibits 'Risktaking' (personality trait).,Risktaking | personality trait | Degree to which the turn exhibits 'Risktaking' (personality trait).,easy,medium,False,2026.06.0
K0002,Naivety,facet,,,personality_trait,general_trait,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Naivety' (very desirable here)."", ""-1"": ""Mild absence of 'Naivety'."", ""0"": ""'Naivety' not expressed in this turn."", ""1"": ""Moderate 'Naivety' present."", ""2"": ""Strong, clear 'Naivety' (undesirable).""}",Degree to which the turn exhibits 'Naivety' (personality trait).,Naivety | personality trait | Degree to which the turn exhibits 'Naivety' (personality trait).,easy,medium,False,2026.06.0
K0003,Acidity,facet,,,personality_trait,general_trait,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Acidity' (very desirable here)."", ""-1"": ""Mild absence of 'Acidity'."", ""0"": ""'Acidity' not expressed in this turn."", ""1"": ""Moderate 'Acidity' present."", ""2"": ""Strong, clear 'Acidity' (undesirable).""}",Degree to which the turn exhibits 'Acidity' (personality trait).,Acidity | personality trait | Degree to which the turn exhibits 'Acidity' (personality trait).,easy,medium,False,2026.06.0
K0004,Democratic Leadership,category_header,,,leadership_org,leadership_org,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Democratic Leadership'."", ""-1"": ""Mild lack of 'Democratic Leadership'."", ""0"": ""'Democratic Leadership' not expressed / neutral."", ""1"": ""Moderate 'Democratic Leadership'."", ""2"": ""Strong, exemplary 'Democratic Leadership'.""}",Degree to which the turn exhibits 'Democratic Leadership' (leadership org).,Democratic Leadership | leadership org | Degree to which the turn exhibits 'Democratic Leadership' (leadership org).,easy,medium,False,2026.06.0
K0005,Common-sense,facet,,,cognitive_numerical,cognitive_numerical,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Common-sense'."", ""-1"": ""Mild lack of 'Common-sense'."", ""0"": ""'Common-sense' not expressed / neutral."", ""1"": ""Moderate 'Common-sense'."", ""2"": ""Strong, exemplary 'Common-sense'.""}",Degree to which the turn exhibits 'Common-sense' (cognitive numerical).,Common-sense | cognitive numerical | Degree to which the turn exhibits 'Common-sense' (cognitive numerical).,easy,medium,False,2026.06.0
K0006,Hesitation,facet,,,personality_trait,general_trait,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Hesitation' (very desirable here)."", ""-1"": ""Mild absence of 'Hesitation'."", ""0"": ""'Hesitation' not expressed in this turn."", ""1"": ""Moderate 'Hesitation' present."", ""2"": ""Strong, clear 'Hesitation' (undesirable).""}",Degree to which the turn exhibits 'Hesitation' (personality trait).,Hesitation | personality trait | Degree to which the turn exhibits 'Hesitation' (personality trait).,easy,medium,False,2026.06.0
K0007,Discontentment,facet,,,emotion_affect,emotion_affect,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Discontentment' (very desirable here)."", ""-1"": ""Mild absence of 'Discontentment'."", ""0"": ""'Discontentment' not expressed in this turn."", ""1"": ""Moderate 'Discontentment' present."", ""2"": ""Strong, clear 'Discontentment' (undesirable).""}",Degree to which the turn exhibits 'Discontentment' (emotion affect).,Discontentment | emotion affect | Degree to which the turn exhibits 'Discontentment' (emotion affect).,easy,medium,False,2026.06.0
K0008,Overprotectiveness,facet,,,personality_trait,general_trait,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Overprotectiveness'."", ""-1"": ""Mild lack of 'Overprotectiveness'."", ""0"": ""'Overprotectiveness' not expressed / neutral."", ""1"": ""Moderate 'Overprotectiveness'."", ""2"": ""Strong, exemplary 'Overprotectiveness'.""}",Degree to which the turn exhibits 'Overprotectiveness' (personality trait).,Overprotectiveness | personality trait | Degree to which the turn exhibits 'Overprotectiveness' (personality trait).,easy,medium,False,2026.06.0
K0009,Merriness,facet,,,emotion_affect,emotion_affect,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Merriness'."", ""-1"": ""Mild lack of 'Merriness'."", ""0"": ""'Merriness' not expressed / neutral."", ""1"": ""Moderate 'Merriness'."", ""2"": ""Strong, exemplary 'Merriness'.""}",Degree to which the turn exhibits 'Merriness' (emotion affect).,Merriness | emotion affect | Degree to which the turn exhibits 'Merriness' (emotion affect).,easy,medium,False,2026.06.0
K0010,Emotionalism,facet,,,emotion_affect,emotion_affect,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Emotionalism'."", ""-1"": ""Mild lack of 'Emotionalism'."", ""0"": ""'Emotionalism' not expressed / neutral."", ""1"": ""Moderate 'Emotionalism'."", ""2"": ""Strong, exemplary 'Emotionalism'.""}",Degree to which the turn exhibits 'Emotionalism' (emotion affect).,Emotionalism | emotion affect | Degree to which the turn exhibits 'Emotionalism' (emotion affect).,easy,medium,False,2026.06.0
